,"AVOID:Direct Means Objective (reduce source, change condition) ",CONTROL / TRAP /Mitigate : Indirect Means Objective (mitigate disease impact),SPECIFIC ACTION,Increase Evapotranspiration,Decrease Runoff,Increase Infiltration ,Increase Interflow ,Increase  Surface Water Storage,Increase Groundwater Recharge,Stabilize Bed and Bank ,Improve Boundary Condition,Decrease Stream /Wave Energy,Increase Longitudinal Connectivity,Increase Dissolved Oxygen,Increase Nesting/  Rearing Habitat,Increase Pool Riffle Habitat,Connect Mosaic of Habitat Types,Increase Refugia,Increase Spawning/Breeding Habitat,Increase  Species Dispersal,Increase Species Diversity,Improve Soil Health/Increase  Organic Matter,Improve Vegetative Vigor ,Increase Rate of Photosynthesis ,Increase Carbon Sequesetration,Increase Connectivity of Upland Habitat ,Stablize  Sediment In Channel ,Decrease Delivery of In Channel Sediment,Decrease Sediment from Hillslopes ,Intercept Hillslope Sediment,Decrease Sediment from  Upland ,Intercept   Overland Flow Sediment,Decrease source of chemical-bacterial contaminants,Decrease delivery of chemical-bacterial contaminants ,Decrease Chemicals  in Solution,Decrease Sources of Nitrogen,Decrease Delivery of Nitrogen to Water,Decrease Sources of Phosphorus,Decrease Delivery of Phosphorus to Water,
,,"vegetative buffer of storm water outlets, roads","veg. buffer of storm water outlets, roads",1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
,,storm water retention ponds,storm water retention ponds,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,-1
,,"Rain gardens, roof gardens",Rain gardens,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,-1
Wetland Loss,increase storage - restore natural wetlands,,Wetland Restoration (651),1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1
,,Construct treatment wetlands,Constructed Treatment Wetlands ,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
,,Saturated Buffer (tile runoff dispersed in riparian) ,Saturated Buffer (739),1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,-1
,,"Culvert downsizing, road retention","Culvert downsizing, road retention",0,1,1,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
,,hold water and sediment - wascob,WASCOB (638),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,-1
Altered Watercourse,Re-meander or restore altered watercourse,,Stream re-meander/restoration,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
,,buffer channelized streams,Ditch buffer,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
,,create 2-stage ditch,Two Stage Ditch,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Water Withdrawal,reduce water use ,,Water Use Reductions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,improve irrigation efficiencies,"Irrigation Water Mgmt (442, 449)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Controlled Subsurface drainage/Sub-irrigation,"Controlled Subsurface Drainage (554, 587)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1
,,set protected flows,Set Protected Low Flows,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Flow Variability,reduce flow manipulation/dam operation,,Reduce Dam manipulation of flow,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1
,,increase landscape storage,Grade Stabilization Structure (410) ,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,-1
,,controlled drainage,Controlled Subsurface Drainage (554),0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
,,adjust/manage tile output,"Tile system design, alternate intakes",0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-1
GEOMORPHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Erosion Potential,NA - condition not directly changeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,improve soil health,Improve soil health,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0
,,Reduce / manage soil compaction (Field to stream),Compaction management ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
,,Manure application,Nutrient mgmt (manure) (590) ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1
,,stabilize/avoid destabilizing steep slopes,"Terrace (600), Contour Farming, Buffer strips (330-332) ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,,,,1,-1
,,stabilize/avoid destabilizing steep slopes,Bluff and Shoreland Ordinance implementation,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
,,increase vegetative cover on erodible soils ,"No till, residue mgmt (330, 332) ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,-1
Groundwater Contamination Susceptibility,NA - condition not directly changeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,increase buffer of karst features,Vegetative Buffer of Karst Features,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
,,avoid release of contaminates,Monitor/upgrade to septic systems ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
,,avoid release of contaminates,"Limit land app. of manure/feedlot size, location",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-1
,,avoid release of contaminates,Land Use Controls in  sensitive GW areas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1
Climate Vulnerability,NA - condition not directly changeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,prepare for extremes in precip -increase water storage,(See surface storage and altered watercourse) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,prepare for extremes in precip - decrease runoff,(See soil erosion index),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"prepare for warming temp.- disease,invasive - resilience",Manage invasive species - barriers,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
,,"prepare for warming temp.- disease,invasive - resilience",Manage invasive species - increase resilience,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
stream stability- future,Stream restoration,,"Stream Restoration (pg94, field to stream)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1
,Floodplain acquisition,,Floodplain acquisition or easement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
,,Riparian vegetation,Riparian Buffer (Field to Stream pg92),1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0
,,Riprap,Streambank protection - riprap 580,0,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1
,,Bioengineering banks,Streambank protection 580,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
BIOLOGY,,(ARE THESE RESPONSES OR ACTIONS??),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrestrial Habitat Quality,improve habitat condition - manage (remove stressors),,(See Manage invasive spcs w/ reslience  - Geo-Climate index) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,0
,improve habitat condition - replant,,re-establish native plant communities,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0
,improve habitat condition - fire,,controlled burning,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,-1
,improve habitat condition - inundation cycling,,(See Floodplain acquisition/easements - Geo-stream stability),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,Enhance and Connect Habitat Patches,Mandate or encourage private/public habitat improvement,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1
Fish Index,Stock fish,,stock fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Invertebrate Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mussels Index,Re-introduce mussels,,re-introduce mussels,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
,,Maintain gw inputs (water temp. limited)  ,Maintain gw inputs (for cold water systems)  ,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,improve habitat condition - instream/lake,Habitat Improvement projects,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,(See Stream Restoration - Geo Stream Stability Index) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,restore connectivity (aquatic),(See Aquatic Conn - Obstruction removal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(See Aquatic Conn - Provide fish passage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Species Richness,"Maintain, restore diversity - stock species",,Stock or reintroduce species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
At-Risk Animal Spec. Richness,"Maintain, restore diversity - stock species",,Stock or reintroduce species of greatest concern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
,,improve habitat condition - instream,See Habitat Improvement Projects - Stream Spc Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,improve habitat condition - upland,See Habitat Improvement - Terrestrial Habitat Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,improve habitat connectivity - riparian,See Riparian Connectivity Index ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,protect sensitive habitats (life cycle),See Purchase land / consrv. Easements - Terr Habitat Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrestrial Habitat Connectivity,Re-connect quality upland habitat ,,Create corridors to connect quality terrestrial habitat,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,reduce impact of impervious surface use,wildlife highway bypass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
,,expand upland perennial veg corridors,Purchase land / consrv. Easements,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,,,restore native habitat,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,-1
,,reduce row crop ag,"set aside programs, CRP, RIM etc.",1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0
Riparian Connectivity,connect terrestrial/aquatic interface,buffer waterways,Implement buffer initiative,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
,,increase floodplain access,See Floodplain Acquisition - Geo - stream Stability index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Aquatic Connectivity,connect stream network/remove obstructions,,Dam Removal,0,0,0,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,1
,,,Culvert redesign for fish passage,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
,,,Provide fish passage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
,"reduce/remove WQ pollution disconnects (endocrine disruptions, DO, Temp.",,Remove WQ chemical and temperature barriers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
WATER QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Localized Pollution Sources,Reduce localized inputs,,Reduce point source inputs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
,,Remove contaminants:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"intercept delivery from feedlots, (bacteria)","riparian buffers, karst feature buffer",0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,0,1,-1
,,,Feedlot /WW Filter Strip (635) Runoff Diversion (362),0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
,,,exclusion (382) fencing (472),0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
,,,rotational grazing,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,-1
,,intercept delivery of chemical pollutants,"? (superfund, potential contaminants, mines)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,0,0,-1
,,intercept delivery of phosphorus from WWTP,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,0,1,-1
,,avoid release of  contaminants from septics,Monitor/upgrade to septic systems ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
Non-Point Source,reduce nonpoint sediment/ phosphorus,,See Perennial Cover actions? Or maybe there are no specific actions for this broad category? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,intercept delivery of sed/P  with vegetation,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,1,0,1,0,,,0,1,0
,,intercept delivery of sed/P with structures,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,,,0,1,-1
Assessments,improve Aquatic Life,,See Stream Spc Quality index? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,0,1,-1
,improve Aquatic Recreation,"increase D.O. , decrease algae","Aerate water,",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,-1
,decrease Aquatic Consumption risk,Reduce airborne mercury? ,Air quality controls on coal burning plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
